SpeciesID	Domain	Phylum	Class	Order	Family	Genus
ASV4723	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
ASV4724	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales
ASV4725	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Fermentimonas
ASV4726	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
ASV4727	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV4728	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
ASV4729	Bacteria	Proteobacteria	Alphaproteobacteria			
ASV4730	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast
ASV4731	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
ASV4732	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
ASV4733	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
ASV4734	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
ASV4735	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV4736	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas
ASV4737	Bacteria	Myxococcota	Polyangia	Blfdi19	Blfdi19	Blfdi19
ASV4738	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2
ASV4739	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45
ASV4740	Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota
ASV4741	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured
ASV4742	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	
ASV4743	Bacteria	Patescibacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria
ASV4744	Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria
ASV4745	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	LWQ8
ASV4746	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	GKS98_freshwater_group
ASV4747	Bacteria	Patescibacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria
ASV4748	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales		
ASV4749	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	
ASV4750	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	uncultured
ASV4751	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
ASV4752	Bacteria	Acidobacteriota	Blastocatellia	DS-100	DS-100	DS-100
ASV4753	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea
ASV4754	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
ASV4755	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
ASV4756	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria
